,lower,upper
0,270.0,299.0
1,270.0,299.0
2,270.0,299.0
3,270.0,299.0
4,270.0,300.0
5,270.0,300.0
6,270.0,300.0
7,270.0,300.0
8,270.0,300.0
9,271.0,300.0
10,271.0,300.0
11,271.0,300.0
12,271.0,301.0
13,271.0,301.0
14,271.0,301.0
15,271.0,301.0
16,271.0,301.0
17,271.0,301.0
18,271.0,301.0
19,272.0,302.0
20,272.0,302.0
21,272.0,302.0
22,272.0,302.0
23,272.0,302.0
24,272.0,302.0
25,272.0,302.0
26,272.0,303.0
27,272.0,303.0
28,273.0,303.0
29,273.0,303.0
30,273.0,303.0
31,273.0,303.0
32,273.0,304.0
33,273.0,304.0
34,273.0,304.0
35,274.0,304.0
36,274.0,304.0
37,274.0,304.0
38,274.0,305.0
39,274.0,305.0
40,274.0,305.0
41,274.0,305.0
42,275.0,305.0
43,275.0,305.0
44,275.0,305.0
45,275.0,306.0
46,275.0,306.0
47,275.0,306.0
48,275.0,306.0
49,276.0,306.0
50,276.0,306.0
51,276.0,307.0
52,276.0,307.0
53,276.0,307.0
54,276.0,307.0
55,276.0,307.0
56,277.0,307.0
57,277.0,308.0
58,277.0,308.0
59,277.0,308.0
60,277.0,308.0
61,277.0,308.0
62,278.0,308.0
63,278.0,309.0
64,278.0,309.0
65,278.0,309.0
66,278.0,309.0
67,278.0,309.0
68,278.0,309.0
69,279.0,310.0
70,279.0,310.0
71,279.0,310.0
72,279.0,310.0
73,279.0,310.0
74,279.0,310.0
75,280.0,310.0
76,280.0,311.0
77,280.0,311.0
78,280.0,311.0
79,280.0,311.0
80,280.0,311.0
81,280.0,311.0
82,281.0,311.0
83,281.0,312.0
84,281.0,312.0
85,281.0,312.0
86,281.0,312.0
87,281.0,312.0
88,282.0,312.0
89,282.0,312.0
90,282.0,312.0
91,282.0,313.0
92,282.0,313.0
93,282.0,313.0
94,282.0,313.0
95,282.0,313.0
96,283.0,313.0
97,283.0,313.0
98,283.0,313.0
99,283.0,314.0
100,283.0,314.0
101,283.0,314.0
102,283.0,314.0
103,283.0,314.0
104,284.0,314.0
105,284.0,314.0
106,284.0,314.0
107,284.0,314.0
108,284.0,314.0
109,284.0,314.0
110,284.0,315.0
111,284.0,315.0
